source,rwsm_regions,net_coeff
Alameda_Creek,AlamedaCreek,2.322691123916932
Guadalupe_Slo,CalabazasCreek|SanTomas,6.658251584117481
San_Pablo_Cre,SanPabloCreek,4.517586978694591
Stevens_Creek,StevensCreek,8.39176922941731
Matadero_and_,MataderoCreek|AdobeCreek,4.031055236641397
Petaluma_Rive,PetalumaRiver,1.9034117529956276
Suisun_Slough,SuisunSlough,2.720268864580216
Coyote_Creek_,LowerCoyoteCreekbelowAndersonDam,4.121813588856147
Montezuma_Slo,GrizzlyIsland,0.14970597727736618
Montezuma_Slo_1ser,SuisunIslands,0.1
Sonoma_Creek,SonomaCreek,2.1589985539959655
Sulphur_Sprin,GoodyearSlough,3.3596597311705083
San_Francisqu,SanFrancisquitoCreek,2.3656077049205826
Napa_River,NapaRiver,1.9250439146069327
unnamed07,KirkerCreek,8.895598495275678
Glen_Echo_Cre,GlenEchoCreek,3.566377280779621
Old_Alameda_C,WardandZeileCreeks,8.266061444370173
San_Leandro_C,SanLeandroCreekBelowLakeChabot,7.076894747184832
unnamed08,GoodyearSlough,3.3596597311705083
Guadalupe_Riv,GuadalupeRiver,7.294611535000958
Pacheco_Creek,WalnutCreek,40.617751677699665
San_Lorenzo_C,SanLorenzoCreek,1.9241884885074312
Steinberger_S,RedwoodCkandArroyoOjodeAguaCk|CordillerasCreek|PulgasCreek,5.193299851293468
