SampleID,SAMPLE LOCATION,DATE,TYPE,LAT START,LONG START,LAT END,LONG END,TOTAL DIST (M),START FLOW,END FLOW,area_km2,volume_m3,FibersYN,Season,time_local,time_utc,lat,lon,volume_l,area_m2,count_preblank_std,count_preblank_nofiber,Fiber,Fiber Bundle,Film,Foam,Fragment,Sphere,Fiber_adj,Fiber Bundle_adj,Fragment_adj,Foam_adj,Film_adj,Sphere_adj,count_std,count_nofiber,part_per_m3_std,part_per_m2_std,part_per_m3_raw_std,part_per_m2_raw_std,part_per_m3_nofiber,part_per_m2_nofiber,part_per_m3_raw_nofiber,part_per_m2_raw_nofiber,x,y
CB-4-Manta-21Aug2017,CB4,2017-08-21 00:00:00,Manta,37.91556667,-122.4412167,37.94193333,-122.4199833,3473.323262,,,0.00211872719,201.279083,Y,Dry,2017-08-21 08:25:00,2017-08-21 15:25:00,37.928749999999994,-122.4306,201279.083,2118.72719,89.0,5.0,84.0,0.0,0.0,0.0,5.0,0.0,42.0,0.0,3.125,0.0,0.0,0.0,45.125,3.125,0.22419120420972902,0.021298164394633553,0.4421721257543686,0.04200635193623017,0.015525706662723616,0.0014749421325923513,0.024841130660357785,0.002359907412147762,550040.3310732356,4198062.574357024
SPB3-Manta-21Aug2017,SPB3,2017-08-21 00:00:00,Manta,38.02307183,-122.3715833,38.04213333,-122.3218833,66678.22227,9113.0,128353.0,0.004186711371,397.7375802,Y,Dry,2017-08-21 10:00:00,2017-08-21 17:00:00,38.03260258,-122.3467333,397737.5802,4186.711371,767.0,120.0,647.0,0.0,30.0,8.0,81.0,1.0,605.0,0.0,79.125,7.875,30.0,1.0,723.0,118.0,1.817781461928852,0.17268923886370288,1.9284071663892521,0.18319868078625187,0.2966780255983465,0.028184412428654135,0.30170646671018286,0.028662114334224543,557329.9717559508,4209633.720911609
SUB1-Manta-21Aug2017,SUB1,2017-08-21 00:00:00,Manta,38.10706667,-122.0562833,38.09653333,-122.0649167,1393.740434,128369.0,220132.0,0.003221948973,306.0851524,N,Dry,2017-08-21 13:48:00,2017-08-21 20:48:00,38.1018,-122.0606,306085.1524,3221.948973,0.0,12.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.125,9.875,0.0,0.0,,10.0,,,0.0,0.0,0.03267064711107496,0.0031037114751972204,0.03920477653328995,0.0037244537702366648,582363.5561357194,4217526.70036232
SPB2-Manta-21Aug2017,SPB2,2017-08-21 00:00:00,Manta,38.05128333,-122.42175,38.023,-122.4281167,3194.008847,220135.0,290083.0,0.002455988653,233.318922,Y,Dry,2017-08-21 17:02:00,2017-08-22 00:02:00,38.037141665,-122.42493335,233318.922,2455.988653,94.0,8.0,86.0,1.0,0.0,0.0,7.0,0.0,44.0,0.0,5.125,0.0,0.0,0.0,49.125,5.125,0.21054871837612896,0.02000212824273175,0.4028820260021603,0.0382737924644638,0.02196564237511778,0.0020867360253231594,0.03428783200018385,0.0032573440395288343,550464.0463201562,4210092.025701818
CB9-Manta-22Aug2017,CB9,2017-08-22 00:00:00,Manta,37.68723333,-122.2909167,37.6985,-122.2984333,1416.65638,290000.0,388104.0,0.003444591851,327.2362258,Y,Dry,2017-08-22 09:26:00,2017-08-22 16:26:00,37.692866665,-122.294675,327236.2258,3444.591851,57.0,30.0,27.0,0.0,2.0,0.0,26.0,2.0,0.0,0.0,24.125,0.0,2.0,2.0,28.125,28.125,0.08594708587425591,0.008164973156931503,0.17418609403849197,0.01654767893138118,0.08594708587425591,0.008164973156931503,0.0916768915992063,0.008709304700726936,562183.4250869382,4171972.8582910667
CB6-Manta-22Aug2017,CB6,2017-08-22 00:00:00,Manta,37.83421667,-122.3204,37.828,-122.3367,1589.696473,390000.0,442660.0,0.001848978705,175.652977,Y,Dry,2017-08-22 13:35:00,2017-08-22 20:35:00,37.831108335,-122.32855,175652.97699999998,1848.978705,156.0,10.0,146.0,2.0,0.0,1.0,6.0,1.0,104.0,0.125,4.125,0.875,0.0,1.0,110.125,6.125,0.6269463910082208,0.05955990715425789,0.8881147513941652,0.08437090139445387,0.03486989007877732,0.00331263955795532,0.056930432781677254,0.005408391115029094,559086.7971752406,4187288.762650055
CB7-Manta-22Aug2017,CB7,2017-08-22 00:00:00,Manta,37.77808333,-122.3549167,37.80366667,-122.3808333,3644.013551,443025.0,470663.0,0.0009704153712,92.18946027,Y,Dry,2017-08-22 13:26:00,2017-08-22 20:26:00,37.790875,-122.367875,92189.46027,970.4153712,514.0,165.0,349.0,0.0,4.0,148.0,12.0,1.0,307.0,0.0,10.125,147.875,4.0,1.0,470.0,163.0,5.098196676968136,0.4843286843434947,5.575474663748132,0.5296700930905452,1.7680979964804386,0.1679693096765737,1.789792450424984,0.17003028280143961,555656.4015204897,4182800.7197664445
CB5-Manta-22Aug2017,CB5,2017-08-22 00:00:00,Manta,37.84303333,-122.4150333,37.8517,-122.4543,3579.953995,478635.0,566947.0,0.00310077872,294.5739784,N,Dry,2017-08-22 16:05:00,2017-08-22 23:05:00,37.847366664999996,-122.43466665,294573.97839999996,3100.77872,0.0,62.0,0.0,0.0,8.0,8.0,46.0,0.0,0.0,0.0,44.125,7.875,8.0,0.0,,60.0,,,0.0,0.0,0.20368397889689502,0.019349977995205027,0.21047344486012484,0.019994977261711858,549737.6570104562,4189030.811867807
SB12-Manta-23Aug2017,SB12,2017-08-23 00:00:00,Manta,37.59391667,-122.2832,37.57791667,-122.2431667,3950.801849,,,0.002409989128,228.9489671,N,Dry,2017-08-23 10:29:30,2017-08-23 17:29:30,37.58591667,-122.26318334999999,228948.9671,2409.9891279999997,0.0,73.0,0.0,0.0,10.0,2.0,56.0,5.0,0.0,0.0,54.125,1.875,10.0,5.0,,71.0,,,0.0,0.0,0.310112777093197,0.029460713816133036,0.3188483482789209,0.03029059307855932,565053.0475764842,4160128.3759070197
SB13-Manta-23Aug2017,SB13,2017-08-23 00:00:00,Manta,37.57006667,-122.21285,37.54808333,-122.1812333,3707.044493,643453.0,711957.0,0.002405287452,228.5023079,Y,Dry,2017-08-23 12:26:00,2017-08-23 19:26:00,37.559075,-122.19704165,228502.3079,2405.287452,360.0,316.0,44.0,5.0,22.0,11.0,273.0,5.0,2.0,3.125,271.125,10.875,22.0,5.0,314.125,312.125,1.374712592126077,0.13059769622911582,1.5754764287000007,0.14967026070029987,1.365959945299966,0.12976619478078083,1.3829181985255563,0.13137722883692987,570918.1985354598,4157198.2425266225
SB11-Manta-23Aug2017,SB11,2017-08-23 00:00:00,Manta,37.59833333,-122.2502333,37.63251667,-122.2530167,3808.912191,711962.0,826544.0,0.004023161374,382.2003306,Y,Dry,2017-08-23 14:57:00,2017-08-23 21:57:00,37.615425,-122.251625,382200.3306,4023.1613740000003,100.0,44.0,56.0,10.0,0.0,9.0,25.0,0.0,14.0,8.125,23.125,8.875,0.0,0.0,54.125,40.125,0.1416142155477246,0.013453350479497818,0.2616428924669277,0.024856074788910516,0.10498421060235473,0.009973500009050345,0.11512287268544817,0.010936672907120627,566047.4485852539,4163410.3038948732
SB10-Manta-23Aug2017,SB10,2017-08-23 00:00:00,Manta,37.64998333,-122.2433167,37.6709,-122.2775333,3805.459084,836583.0,930535.0,0.003298808342,313.3867925,Y,Dry,2017-08-23 15:51:00,2017-08-23 22:51:00,37.660441665,-122.260425,313386.79250000004,3298.808342,52.0,20.0,32.0,2.0,0.0,2.0,16.0,0.0,0.0,0.125,14.125,1.875,0.0,0.0,16.125,16.125,0.05145398716826906,0.004888128781141539,0.16592913691472813,0.015763268007402173,0.05145398716826906,0.004888128781141539,0.06381889881335698,0.006062795387462374,565231.4265070346,4168398.6398603437
LSB15-Manta-24Aug2017,LSB15,2017-08-24 00:00:00,Manta,37.46136333,-122.0844583,37.47018,-122.06048,2332.311868,38852.0,118531.0,0.002797659974,265.7776975,N,Dry,2017-08-24 14:42:00,2017-08-24 21:42:00,37.465771665,-122.07246914999999,265777.6975,2797.659974,0.0,46.0,0.0,0.0,6.0,3.0,37.0,0.0,0.0,0.0,35.125,2.875,6.0,0.0,,44.0,,,0.0,0.0,0.165551889469582,0.015727429497835035,0.17307697535456298,0.016442312656827537,582022.8694784215,4146947.840334547
LSB14-Manta-24Aug2017,LSB14,2017-08-24 00:00:00,Manta,37.47149667,-122.0643783,37.4831,-122.0844783,2193.331162,,,0.001337932009,127.1035408,Y,Dry,2017-08-24 13:15:00,2017-08-24 20:15:00,37.477298335,-122.0744283,127103.5408,1337.9320089999999,303.0,166.0,137.0,1.0,24.0,3.0,122.0,16.0,95.0,0.0,120.125,2.875,24.0,16.0,258.0,163.0,2.0298411702469266,0.1928349110900149,2.383883234824879,0.22646890721036633,1.282419033915694,0.12182980816927298,1.3060218382208908,0.12407207457729641,581837.0459361193,4148224.972739393
LSB16-Manta-24Aug2017,LSB16,2017-08-24 00:00:00,Manta,37.46448333,-122.0271283,37.462605,-122.0520967,2213.584412,118533.0,182464.0,0.002244721944,213.2485847,N,Dry,2017-08-24 16:10:00,2017-08-24 23:10:00,37.463544165,-122.0396125,213248.5847,2244.721944,0.0,16.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,10.125,3.875,0.0,0.0,,14.0,,,0.0,0.0,0.0656510804969483,0.006236852647795027,0.07502980628222664,0.007127831597480031,584931.019854702,4146729.829842229
CB8-Manta-25Aug2017,CB8,2017-08-25 00:00:00,Manta,37.751445,-122.2259517,37.76930167,-122.2309717,2034.02021,182464.0,295116.0,0.003955395919,375.7626123,N,Dry,2017-08-25 10:28:00,2017-08-25 17:28:00,37.760373335,-122.2284617,375762.6123,3955.3959189999996,0.0,399.0,0.0,0.0,14.0,67.0,309.0,9.0,0.0,0.0,307.125,66.875,14.0,9.0,,397.0,,,0.0,0.0,1.0565180968111978,0.10036921919572826,1.0618406061150327,0.10087485757958584,567959.3432162609,4179508.69118503
CB8-Manta-DUP-25Aug2017,CB8,2017-08-25 00:00:00,Manta - DUP,37.75172,-122.2265333,37.769635,-122.23022,2018.248272,295120.0,410455.0,0.004049600436,384.7120414,N,Dry,2017-08-25 12:00:00,2017-08-25 19:00:00,37.7606775,-122.22837665,384712.0414,4049.6004360000006,0.0,333.0,0.0,0.0,15.0,153.0,160.0,5.0,0.0,0.0,158.125,152.875,15.0,5.0,,331.0,,,0.0,0.0,0.8603837789830096,0.08173645899913666,0.8655824725116078,0.08223033488432782,567966.5564560695,4179542.500103068
GFNMS25-Manta-11Sept2017,GFNMS25,2017-09-11 00:00:00,Manta,37.96701333,-122.9271783,37.95744833,-122.9043083,2269.6004,410186.0,495407.0,0.002992248656,284.2636223,Y,Dry,2017-09-11 15:10:00,2017-09-11 22:10:00,37.962230829999996,-122.9157433,284263.6223,2992.2486559999998,257.0,3.0,254.0,0.0,0.0,1.0,2.0,0.0,212.0,0.0,0.125,0.875,0.0,0.0,213.0,1.0,0.749304459981899,0.0711839236932721,0.9040903578185354,0.08588858398671799,0.0035178613144690096,0.00033419682485104276,0.010553583943407028,0.0010025904745531282,507401.30616733554,4201627.813044742
