SampleID,volume_l,area_m2,count_preblank,lat,lon,SampleDate,Season,SampleType,count,part_per_m3,part_per_m2,x,y
CB-4-Manta-21Aug2017,201279.083007418,2118.72718955177,89,37.923935,-122.4273775,2017-08-21,Dry,Trawl,55.5,0.27573655031980937,0.026194972280381867,550326.8168000631,4197530.07516189
CB4-Manta-16Nov2017,102764.13567028599,1081.72774389774,630,37.923935,-122.4273775,2017-11-16,Wet,Trawl,596.5,5.80455424559637,0.5514326533316589,550326.8168000631,4197530.07516189
CB5-Manta-16Nov2017,133796.291506891,1408.38201586202,254,37.84288166625,-122.406971025,2017-11-16,Wet,Trawl,220.5,1.6480277406541082,0.1565626353621392,552177.4812015315,4188548.3117150743
CB5-Manta-22Aug2017,137527.562916763,1447.6585570185598,62,37.84288166625,-122.406971025,2017-08-22,Dry,Trawl,28.5,0.20723118621137276,0.019686962690080387,552177.4812015315,4188548.3117150743
CB5-Manta-5Nov2017,177321.0430237932,1866.537294987292,612,37.84288166625,-122.406971025,2017-11-05,Dry,Trawl,545.0,3.073521284932162,0.29198452206855613,552177.4812015315,4188548.3117150743
CB6-Manta-16Nov2017,126039.420516671,1326.73074228074,60,37.8310529175,-122.331483325,2017-11-16,Wet,Trawl,26.5,0.21025168071520048,0.019973909667944156,558828.7091482126,4187280.7626295253
CB6-Manta-22Aug2017,82006.99183799191,863.2314930314931,156,37.8310529175,-122.331483325,2017-08-22,Dry,Trawl,122.5,1.4937750703257553,0.14190863168094686,558828.7091482126,4187280.7626295253
CB7-Manta-16Nov2017,264901.582597982,2788.43771155771,964,37.7788545825,-122.349332925,2017-11-16,Wet,Trawl,897.0,3.386163235428074,0.32168550736566653,557298.26395578,4181478.2562790792
CB7-Manta-22Aug2017,211170.585252065,2222.8482658112102,514,37.7788545825,-122.349332925,2017-08-22,Dry,Trawl,480.5,2.2754116034979415,0.2161641023323045,557298.26395578,4181478.2562790792
CB8-Manta-11Jan18,282326.121748672,2971.85391314391,2675,37.76069111166666,-122.22956166666667,2018-01-11,Wet,Trawl,2641.5,9.356201203201012,0.8888391143040977,567862.163133207,4179543.1501044957
CB8-Manta-25Aug2017,355042.31006776,3737.28747439748,732,37.76069111166666,-122.22956166666667,2017-08-25,Dry,Trawl,665.0,1.8730162043872585,0.17793653941678927,567862.163133207,4179543.1501044957
CB9-Manta-11Jan18,75435.21998922,794.054947254947,4959,37.6957708325,-122.301635425,2018-01-11,Wet,Trawl,4925.5,65.29443409462945,6.202971238989801,561567.365255054,4172290.4746959745
CB9-Manta-22Aug2017,152776.565272965,1608.17437129437,57,37.6957708325,-122.301635425,2017-08-22,Dry,Trawl,23.5,0.1538194025897407,0.01461284324602535,561567.365255054,4172290.4746959745
CB9-Manta-Blank-11Jan18,0.0,0.0,2,37.6957708325,-122.301635425,2018-01-11,Wet,FieldBlank,0.0,,,561567.365255054,4172290.4746959745
CBNMS22-Manta-12Sept2017,30603.9005621006,322.146321706322,43,38.0576588625,-123.09298554166668,2017-09-12,Dry,Trawl,9.5,0.3104179475659601,0.029489705018766216,491842.5131656038,4212216.502460302
CBNMS22-Manta-30Mar2018,142205.667806268,1496.9017663817701,14,38.0576588625,-123.09298554166668,2018-03-30,Wet,Trawl,0.0,0.0,0.0,491842.5131656038,4212216.502460302
CBNMS23-Manta-12Sept2017,100062.234211134,1053.28667590668,36,38.0257390825,-123.3132609,2017-09-12,Dry,Trawl,2.5,0.02498445112393686,0.002373522856773987,472506.11229955277,4208717.131085598
CBNMS23-Manta-29Mar2018,147326.043597444,1550.80045892046,19,38.0257390825,-123.3132609,2018-03-29,Wet,Trawl,0.0,0.0,0.0,472506.11229955277,4208717.131085598
CBNMS24-Manta-13Sept2017,145044.610953261,1526.78537845538,95,37.975235832500005,-123.4752325,2017-09-13,Dry,Trawl,61.5,0.42400748015255585,0.04028071061449278,458261.7119158676,4203173.901016015
CBNMS24-Manta-29Mar2018,179921.72050897,1893.91284746285,5,37.975235832500005,-123.4752325,2018-03-29,Wet,Trawl,0.0,0.0,0.0,458261.7119158676,4203173.901016015
GFNMS25-Manta-11Sept2017,132713.973631324,1396.9891961192,257,31.636902354166665,-122.941632625,2017-09-11,Dry,Trawl,223.5,1.6840728514457506,0.15998692088734634,505534.72636949294,3500191.6882579597
GFNMS25-Manta-30Mar2018,130722.197281897,1376.0231292831302,30,31.636902354166665,-122.941632625,2018-03-30,Wet,Trawl,0.0,0.0,0.0,505534.72636949294,3500191.6882579597
GFNMS25-Manta-Blank-11Sept2017,0.0,0.0,58,31.636902354166665,-122.941632625,2017-09-11,Dry,FieldBlank,24.5,inf,inf,505534.72636949294,3500191.6882579597
GFNMS26-Manta-12Sept2017,155934.7532609533,1641.418455378456,60,37.82065622333333,-123.34108395,2017-09-12,Dry,Trawl,14.5,0.09298760986099473,0.008833822936794498,469980.9140798204,4185971.5496895155
GFNMS26-Manta-29Mar2018,123717.49828289801,1302.28945560946,11,37.82065622333333,-123.34108395,2018-03-29,Wet,Trawl,0.0,0.0,0.0,469980.9140798204,4185971.5496895155
GFNMS27-Manta-13Sept2017,122998.029421729,1294.7160991761,78,37.740769915,-123.25960725,2017-09-13,Dry,Trawl,44.5,0.36179441418057845,0.03437046934715482,477127.1579015976,4177085.2559502046
GFNMS27-Manta-29Mar2018,113252.496665897,1192.13154385154,275,37.740769915,-123.25960725,2018-03-29,Wet,Trawl,241.5,2.132403320983222,0.2025783154934073,477127.1579015976,4177085.2559502046
GFNMS28-Manta-13Sept2017,123790.69100254099,1303.05990528991,69,37.8058939175,-122.74156624999999,2017-09-13,Dry,Trawl,35.5,0.28677439080836303,0.02724356712679439,522749.48711459915,4184310.352861616
GFNMS28-Manta-30Mar2018,153066.22156772198,1611.22338492338,16,37.8058939175,-122.74156624999999,2018-03-30,Wet,Trawl,0.0,0.0,0.0,522749.48711459915,4184310.352861616
LSB14-Manta-06Mar2018,92559.2018018018,974.3073873873869,26,37.4806577775,-122.07805429166666,2018-03-06,Wet,Trawl,0.0,0.0,0.0,581512.7867879272,4148594.544105046
LSB14-Manta-24Aug2017,167410.437325787,1762.21512974513,303,37.4806577775,-122.07805429166666,2017-08-24,Dry,Trawl,269.5,1.6098159965710075,0.1529325196742454,581512.7867879272,4148594.544105046
LSB14-Manta-Blank-06Mar2018,0.0,0.0,3,37.4806577775,-122.07805429166666,2018-03-06,Wet,FieldBlank,0.0,,,581512.7867879272,4148594.544105046
